organizationCode,organizationName,parentOrganizationCode,regionCode,stateCode,address,organizationHindiName,districtId,estdYear,studentsCount,schoolUrl
sssa,"PM-SHRI Jawahar Navodaya Vidyalaya Lepakshi, Sri Sathya Sai (Anantapur), Andhra Pradesh - 515331",RO-HYDERABAD,HYDERABAD,01,LEPAKSHI/ VEERBHADRA TEMPLE - LEPAKSHI - 515331,"पीएम-श्री जवाहर नवोदय विद्यालय लेपाक्षी, श्री सत्य साईं (अनंतपुर), आंध्र प्रदेश - 515331",1,1987,0,/nvs-school/ap/sssa
ac,"PM-SHRI Jawahar Navodaya Vidyalaya Valasapalli, Annamayya (Chittoor), Andhra Pradesh - 517326",RO-HYDERABAD,HYDERABAD,01,BOYAKONDA CROSS - VALASAPALLI - 517326,"पीएम-श्री जवाहर नवोदय विद्यालय वलसापल्ली, अन्नामय्या (चित्तूर), आंध्र प्रदेश - 517326",2,1986,0,/nvs-school/ap/ac
kegi,"PM-SHRI Jawahar Navodaya Vidyalaya Peddapuram, Kakinada (East Godavari-I), Andhra Pradesh - 533437",RO-HYDERABAD,HYDERABAD,01,Pandavula Metta - PEDDAPURAM - 533437,"पीएम-श्री जवाहर नवोदय विद्यालय पेद्दापुरम, काकीनाडा (पूर्वी गोदावरी-I), आंध्र प्रदेश - 533437",3,1987,0,/nvs-school/ap/keg1
pg,"PM-SHRI Jawahar Navodaya Vidyalaya Maddirala, Palnadu (Guntur), Andhra Pradesh - 522616",RO-HYDERABAD,HYDERABAD,01,POTHAVARAM POWER STATION - MADDIRALA - 522616,"पीएम-श्री जवाहर नवोदय विद्यालय मद्दिराला, पालनाडु (गुंटूर), आंध्र प्रदेश - 522616",4,1987,0,/nvs-school/ap/pg
ak,"PM-SHRI Jawahar Navodaya Vidyalaya Naramraju Palli, Annamayya (Kadapa), Andhra Pradesh - 516150",RO-HYDERABAD,HYDERABAD,01,AKEPADU - NARAMRAJU PALLI - 516150,"पीएम-श्री जवाहर नवोदय विद्यालय नरमराजू पल्ली, अन्नामय्या (कडप्पा), आंध्र प्रदेश - 516150",5,1987,0,/nvs-school/ap/ak
krishna,"PM-SHRI Jawahar Navodaya Vidyalaya Veleru, Krishna, Andhra Pradesh - 521110",RO-HYDERABAD,HYDERABAD,01,SEETHARAMAPURAM CROSS ROADS - VELERU - 521110,"पीएम-श्री जवाहर नवोदय विद्यालय वेलेरू, कृष्णा, आंध्र प्रदेश - 521110",6,1989,0,/nvs-school/ap/krishna
kurnool,"PM-SHRI Jawahar Navodaya Vidyalaya Banavasi, Kurnool, Andhra Pradesh - 518360",RO-HYDERABAD,HYDERABAD,01,BANAVASI - BANAVASI - 518360,"पीएम-श्री जवाहर नवोदय विद्यालय बनवासी, कुरनूल, आंध्र प्रदेश - 518360",7,1987,0,/nvs-school/ap/kurnool
nellore,"PM-SHRI Jawahar Navodaya Vidyalaya Krishnapuram, Nellore, Andhra Pradesh - 524230",RO-HYDERABAD,HYDERABAD,01,KRISHNAPURAM HIGHWAY - KRISHNAPURAM - 524230,"पीएम-श्री जवाहर नवोदय विद्यालय कृष्णपुरम, नेल्लोर, आंध्र प्रदेश - 524230",8,1987,0,/nvs-school/ap/nellore
prakasam1,"PM-SHRI Jawahar Navodaya Vidyalaya Ongole, Prakasam-I, Andhra Pradesh - 523001",RO-HYDERABAD,HYDERABAD,01,"NSC AREA, BEHIND RIMS - ONGOLE - 523001","पीएम-श्री जवाहर नवोदय विद्यालय ओंगोल, प्रकाशम-I, आंध्र प्रदेश - 523001",9,1987,0,/nvs-school/ap/prakasam1
prakasam2,"PM-SHRI Jawahar Navodaya Vidyalaya Kalujuvvala Padu, Prakasam-II, Andhra Pradesh - 523316",RO-HYDERABAD,HYDERABAD,01,ONGOLE HIGH WAY NEAR TO TOLL GATE MEKALAVARI PALLI - KALUJUVVALA PADU - 523316,"पीएम-श्री जवाहर नवोदय विद्यालय कालुजुववाला पादु, प्रकाशम-II, आंध्र प्रदेश - 523316",10,2009,0,/nvs-school/ap/prakasam2
srikakulam,"PM-SHRI Jawahar Navodaya Vidyalaya Vennelavalasa, Srikakulam, Andhra Pradesh - 532458",RO-HYDERABAD,HYDERABAD,01,NEAR VENNELAVALASA - VENNELAVALASA - 532458,"पीएम-श्री जवाहर नवोदय विद्यालय वेन्नेलावलासा, श्रीकाकुलम, आंध्र प्रदेश - 532458",11,1988,0,/nvs-school/ap/srikakulam
visakhapatnam,"PM-SHRI Jawahar Navodaya Vidyalaya Kommadi, Visakhapatnam, Andhra Pradesh - 530048",RO-HYDERABAD,HYDERABAD,01,NEAR PM PALEM POLICE STATION - KOMMADI - 530048,"पीएम-श्री जवाहर नवोदय विद्यालय कोम्माडी, विशाखापत्तनम, आंध्र प्रदेश - 530048",12,1989,0,/nvs-school/ap/visakhapatnam
vizianagaram,"PM-SHRI Jawahar Navodaya Vidyalaya Kiltampalem, Vizianagaram, Andhra Pradesh - 535145",RO-HYDERABAD,HYDERABAD,01,NEAR KILTAMPALEM - KILTAMPALEM - 535145,"पीएम-श्री जवाहर नवोदय विद्यालय किल्टामपलेम, विजयनगरम, आंध्र प्रदेश - 535145",13,1988,0,/nvs-school/ap/vizianagaram
ewg,"PM-SHRI Jawahar Navodaya Vidyalaya Pedavegi, Eluru (West Godavari), Andhra Pradesh - 534435",RO-HYDERABAD,HYDERABAD,01,"MRC Colony, Lakshmipuram Panchayat, - PEDAVEGI - 534435","पीएम-श्री जवाहर नवोदय विद्यालय पेडावेगी, एलुरु (पश्चिम गोदावरी), आंध्र प्रदेश - 534435",14,1988,0,/nvs-school/ap/ewg
asregi,"PM-SHRI Jawahar Navodaya Vidyalaya Yetapaka, Alluri Sitharama Raju (East Godavari-II), Andhra Pradesh - 533352",RO-HYDERABAD,HYDERABAD,01,Navodaya School - YETAPAKA - 533352,"पीएम-श्री जवाहर नवोदय विद्यालय येतापका, अल्लूरी सीताराम राजू (पूर्वी गोदावरी-II), आंध्र प्रदेश - 533352",15,2009,0,/nvs-school/ap/asreg2
ldv,"PM-SHRI Jawahar Navodaya Vidyalaya Maselo, Lower Dibang Valley, Ar. Pradesh - 792110",RO-PATNA,PATNA,02,Maselo - 792110,"पीएम-श्री जवाहर नवोदय विद्यालय मासेलो, लोअर दिबांग वैली, अर. प्रदेश - 792110",16,1987,0,/nvs-school/ar/ldv
nl,"PM-SHRI Jawahar Navodaya Vidyalaya Mahadevpur, Namsai (Lohit), Ar. Pradesh - 792105",RO-PATNA,PATNA,02,MAHADEVPUR - 792105,"पीएम-श्री जवाहर नवोदय विद्यालय महादेवपुर, नामसाई (लोहित), अर. प्रदेश - 792105",17,,0,/nvs-school/ar/nl
longding,"PM-SHRI Jawahar Navodaya Vidyalaya Khapcho, Longding, Ar. Pradesh - 792131",RO-PATNA,PATNA,02,Khapcho - 792131,"पीएम-श्री जवाहर नवोदय विद्यालय खापचो, लोंगडिंग, अर. प्रदेश - 792131",18,1987,0,/nvs-school/ar/longding
ek,"PM-SHRI Jawahar Navodaya Vidyalaya Seppa, East Kameng, Ar. Pradesh - 790102",RO-PATNA,PATNA,02,"NEAR ST. JOSEPH SCHOOL, NEW SEPPA - Seppa - 790102","पीएम-श्री जवाहर नवोदय विद्यालय सेप्पा, ईस्ट कामेंग, अर. प्रदेश - 790102",19,1988,0,/nvs-school/ar/ek
kus,"PM-SHRI Jawahar Navodaya Vidyalaya Megdong, Kamle (Upper Subansiri), Ar. Pradesh - 791122",RO-PATNA,PATNA,02,Megdong - 791122,"पीएम-श्री जवाहर नवोदय विद्यालय मेगडोंग, कामले (ऊपरी सुबनसिरी), अर. प्रदेश - 791122",20,1987,0,/nvs-school/ar/kus
tawang,"PM-SHRI Jawahar Navodaya Vidyalaya Gorpudung, Tawang, Ar. Pradesh - 790104",RO-PATNA,PATNA,02,NEAR TELI 305 ARMY HOSPITAL - Gorpudung - 790104,"पीएम-श्री जवाहर नवोदय विद्यालय गोरपुदुंग, तवांग, अर. प्रदेश - 790104",21,1994,0,/nvs-school/ar/tawang
ls,"PM-SHRI Jawahar Navodaya Vidyalaya Yachuli, Lower Subansiri, Ar. Pradesh - 791120",RO-PATNA,PATNA,02,Yachuli - 791120,"पीएम-श्री जवाहर नवोदय विद्यालय याचुली, लोअर सुबनसिरी, अर. प्रदेश - 791120",22,1996,0,/nvs-school/ar/ls
changlang,"PM-SHRI Jawahar Navodaya Vidyalaya Goju, Changlang, Ar. Pradesh - 792056",RO-PATNA,PATNA,02,Goju - 792056,"पीएम-श्री जवाहर नवोदय विद्यालय गोजू, चांगलांग, अर. प्रदेश - 792056",23,1998,0,/nvs-school/ar/changlang
