organizationCode,organizationName,parentOrganizationCode,regionCode,stateCode,address
14030,"PM-SHRI Jawahar Navodaya Vidyalaya Kadvasan, Gir Somnath, Gujarat - 362720",RO-LUCKNOW,LUCKNOW,06,KADVASAN
14031,"PM-SHRI Jawahar Navodaya Vidyalaya Dumra, Kutch, Gujarat - 370490",RO-LUCKNOW,LUCKNOW,06,DUMRA
14032,"PM-SHRI Jawahar Navodaya Vidyalaya Roopnagar, Bharuch, Gujarat - 393110",RO-LUCKNOW,LUCKNOW,06,ROOPNAGAR
14033,"PM-SHRI Jawahar Navodaya Vidyalaya Aliabada, Jamnagar, Gujarat - 361110",RO-LUCKNOW,LUCKNOW,06,ALIABADA
14034,"PM-SHRI Jawahar Navodaya Vidyalaya Vanana, Porbandar, Gujarat - 360550",RO-LUCKNOW,LUCKNOW,06,Vanana
14035,"PM-SHRI Jawahar Navodaya Vidyalaya Kathlal, Kheda, Gujarat - 387630",RO-LUCKNOW,LUCKNOW,06,KATHLAL
14036,"PM-SHRI Jawahar Navodaya Vidyalaya Kharedi, Dahod I, Gujarat - 389160",RO-LUCKNOW,LUCKNOW,06,KHAREDI
14037,"PM-SHRI Jawahar Navodaya Vidyalaya Lanva, Patan, Gujarat - 384229",RO-LUCKNOW,LUCKNOW,06,Lanva
14038,"PM-SHRI Jawahar Navodaya Vidyalaya Paddhari, Rajkot, Gujarat - 360110",RO-LUCKNOW,LUCKNOW,06,paddhari
14039,"PM-SHRI Jawahar Navodaya Vidyalaya Borkhadi, Tapi, Gujarat - 394690",RO-LUCKNOW,LUCKNOW,06,BORKHADI
14040,"PM-SHRI Jawahar Navodaya Vidyalaya Dhrangadhra, Surendranagar, Gujarat - 363310",RO-LUCKNOW,LUCKNOW,06,DHRANGADHRA
14041,"PM-SHRI Jawahar Navodaya Vidyalaya Dhansura, Aravalli, Gujarat - 383310",RO-LUCKNOW,LUCKNOW,06,DHANSURA
14042,"PM-SHRI Jawahar Navodaya Vidyalaya Trapaj, Bhavnagar, Gujarat - 364150",RO-LUCKNOW,LUCKNOW,06,TRAPAJ
14043,"PM-SHRI Jawahar Navodaya Vidyalaya Sadhi , Vadodara, Gujarat - 391445",RO-LUCKNOW,LUCKNOW,06,Sadhi
14044,"PM-SHRI Jawahar Navodaya Vidyalaya Sametri, Gandhinagar, Gujarat - 382315",RO-LUCKNOW,LUCKNOW,06,Sametri
14045,"PM-SHRI Jawahar Navodaya Vidyalaya Dantiwada , Banaskantha, Gujarat - 385505",RO-LUCKNOW,LUCKNOW,06,DANTIWADA
14046,"PM-SHRI Jawahar Navodaya Vidyalaya Vadnagar , Mehsana, Gujarat - 384355",RO-LUCKNOW,LUCKNOW,06,Vadnagar
14047,"PM-SHRI Jawahar Navodaya Vidyalaya Vejalpur , Panchmahal, Gujarat - 389340",RO-LUCKNOW,LUCKNOW,06,VEJALPUR
14048,"PM-SHRI Jawahar Navodaya Vidyalaya Saputara, Dang, Gujarat - 394720",RO-LUCKNOW,LUCKNOW,06,SAPUTARA
14049,"PM-SHRI Jawahar Navodaya Vidyalaya Babapur, Amreli, Gujarat - 365610",RO-LUCKNOW,LUCKNOW,06,BABAPUR
14050,"PM-SHRI Jawahar Navodaya Vidyalaya Bhadran, Anand, Gujarat - 388530",RO-LUCKNOW,LUCKNOW,06,BHADRAN
14051,"PM-SHRI Jawahar Navodaya Vidyalaya Rupvel, Navsari, Gujarat - 396560",RO-LUCKNOW,LUCKNOW,06,RUPVEL
14052,"Jawahar Navodaya Vidyalaya Tilakwada, Narmada, Gujarat - 391120",RO-LUCKNOW,LUCKNOW,06,TILAKWADA
14053,"PM-SHRI Jawahar Navodaya Vidyalaya Ambheti, Valsad, Gujarat - 396191",RO-LUCKNOW,LUCKNOW,06,AMBHETI
14054,"PM-SHRI Jawahar Navodaya Vidyalaya Nandla, Ajmer, Rajasthan - 305601",RO-MUMBAI,MUMBAI,20,NANDLA
14055,"PM-SHRI Jawahar Navodaya Vidyalaya Khairthal, Khairthal-Tijara (Alwar), Rajasthan - 301404",RO-MUMBAI,MUMBAI,20,KHAIRTHAL
14056,"PM-SHRI Jawahar Navodaya Vidyalaya Budwa, Banswara-I, Rajasthan - 327604",RO-MUMBAI,MUMBAI,20,BUDWA
14057,"PM-SHRI Jawahar Navodaya Vidyalaya Atru, Baran, Rajasthan - 325218",RO-MUMBAI,MUMBAI,20,ATRU
14058,"PM-SHRI Jawahar Navodaya Vidyalaya Mandapura, Balotra (Barmer), Rajasthan - 344032",RO-MUMBAI,MUMBAI,20,MANDAPURA
14059,"PM-SHRI Jawahar Navodaya Vidyalaya Hurda, Bhilwara, Rajasthan - 311022",RO-MUMBAI,MUMBAI,20,HURDA
14060,"PM-SHRI Jawahar Navodaya Vidyalaya Gajner, Bikaner, Rajasthan - 334024",RO-MUMBAI,MUMBAI,20,GAJNER
14061,"PM-SHRI Jawahar Navodaya Vidyalaya Sitapura, Bundi, Rajasthan - 323021",RO-MUMBAI,MUMBAI,20,SITAPURA
14062,"PM-SHRI Jawahar Navodaya Vidyalaya Mandaphia , Chittorgarh, Rajasthan - 312027",RO-MUMBAI,MUMBAI,20,MANDAPHIA
14063,"PM-SHRI Jawahar Navodaya Vidyalaya Sardarshahar, Churu, Rajasthan - 331403",RO-MUMBAI,MUMBAI,20,SARDARSHAHAR
14064,"PM-SHRI Jawahar Navodaya Vidyalaya Kherli, Dausa, Rajasthan - 303501",RO-MUMBAI,MUMBAI,20,KHERLI
14065,"PM-SHRI Jawahar Navodaya Vidyalaya Thakarda, Dungarpur, Rajasthan - 314029",RO-MUMBAI,MUMBAI,20,THAKARDA
14066,"PM-SHRI Jawahar Navodaya Vidyalaya Pachpahar, Jhalawar, Rajasthan - 326512",RO-MUMBAI,MUMBAI,20,PACHPAHAR
14067,"PM-SHRI Jawahar Navodaya Vidyalaya Jaswantpura, Jalore, Rajasthan - 307515",RO-MUMBAI,MUMBAI,20,JASWANTPURA
14068,"PM-SHRI Jawahar Navodaya Vidyalaya Mohangarh, Jaisalmer, Rajasthan - 345033",RO-MUMBAI,MUMBAI,20,MOHANGARH
14069,"PM-SHRI Jawahar Navodaya Vidyalaya Paota, Kotputli-Behror (Jaipur), Rajasthan - 303106",RO-MUMBAI,MUMBAI,20,PAOTA
14070,"PM-SHRI Jawahar Navodaya Vidyalaya Kajra, Jhunjhunu, Rajasthan - 333030",RO-MUMBAI,MUMBAI,20,KAJRA
14071,"PM-SHRI Jawahar Navodaya Vidyalaya Tilwasni, Jodhpur, Rajasthan - 342605",RO-MUMBAI,MUMBAI,20,TILWASNI
14072,"PM-SHRI Jawahar Navodaya Vidyalaya Khairabad, Kota, Rajasthan - 326529",RO-MUMBAI,MUMBAI,20,KHAIRABAD
14073,"PM-SHRI Jawahar Navodaya Vidyalaya Dholpur, Dholpur, Rajasthan - 382001",RO-MUMBAI,MUMBAI,20,DHOLPUR
14074,"PM-SHRI Jawahar Navodaya Vidyalaya Panwari, Deedwana-Kuchaman (Nagaur), Rajasthan - 341508",RO-MUMBAI,MUMBAI,20,PANWARI
14075,"PM-SHRI Jawahar Navodaya Vidyalaya Jojawar, Pali, Rajasthan - 306022",RO-MUMBAI,MUMBAI,20,JOJAWAR
14076,"PM-SHRI Jawahar Navodaya Vidyalaya Gadriyawas, Rajsamand, Rajasthan - 313324",RO-MUMBAI,MUMBAI,20,GADRIYAWAS
14077,"PM-SHRI Jawahar Navodaya Vidyalaya Mahiyanwali, Sri Ganganagar-I, Rajasthan - 335002",RO-MUMBAI,MUMBAI,20,MAHIYANWALI
