"state_id","state_name","state_code","is_active","ro_id","iso_code"
20,RAJASTHAN,"20",true,7,IN-RJ
34,TELANGANA,"34",true,3,IN-TG
32,UTTARAKHAND,"32",true,5,IN-UT
1,ANDHRA PRADESH,"01",true,3,IN-AP
3,ASSAM,"03",true,8,IN-AS
4,BIHAR,"04",true,1,IN-BR
5,GOA,"05",true,4,IN-GA
8,HIMACHAL PRADESH,"08",true,6,IN-HP
7,HARYANA,"07",true,7,IN-HR
10,KARNATAKA,"10",true,3,IN-KA
11,KERALA,"11",true,3,IN-KL
12,MADHYA PRADESH,"12",true,9,IN-MP
13,MAHARASHTRA,"13",true,4,IN-MH
14,MANIPUR,"14",true,8,IN-MN
15,MEGHALAYA,"15",true,8,IN-ML
16,MIZORAM,"16",true,8,IN-MZ
17,NAGALAND,"17",true,8,IN-NL
19,PUNJAB,"19",true,6,IN-PB
21,SIKKIM,"21",true,8,IN-SK
22,JHARKHAND,"22",true,1,IN-JH
23,TRIPURA,"23",true,8,IN-TR
24,UTTAR PRADESH,"24",true,5,IN-UP
33,WEST BENGAL,"33",true,1,IN-WB
6,GUJARAT,"06",true,2,IN-GJ
25,CHHATTISGARH,"25",true,10,IN-CT
18,ODISHA,"18",true,10,IN-OR
31,PUDUCHERRY,"31",true,3,IN-PY
30,LAKSHADWEEP,"30",true,3,IN-LD
29,UT DELHI,"29",true,7,IN-DL
35,UT LADAKH,"35",true,6,IN-LA
27,UT CHANDIGARH,"27",true,6,IN-CH
36,NVS,"36",true,,NVS
9,UT JAMMU AND KASHMIR,"09",true,6,IN-JK
2,AR. PRADESH,"02",true,8,IN-AR
28,UT DADRA AND NAGAR HAVELI AND DAMAN AND DIU,"28",true,2,IN-DH
26,ANDAMAN AND NICOBAR,"26",true,3,IN-AN
